1label,1real,1a,1b,1c,1d,2label,2real,2a,2b,2c,2d,3label,3real,3a,3b,3c,3d,4label,4real,4a,4b,4c,4d,5label,5real,5a,5b,5c,5d
historical film,1,Thirteen Lives,Union of Salvation,Das Boot,Thomas Brodie-Sangster,women's rights activist,1,Alice Schwarzer,Alexandra Kollontai,Eleanor Roosevelt,Gloria Steinem,science fiction television program,1,The Mandalorian,Dark,Star Trek: The Original Series,Stranger Things,tennis player,1,Andy Murray,Novak Djokovic,John McEnroe,Maria Sharapova,BBC 100 Women,0,Ivan Standup,Ivan Businessovsky,Alfred Rosenberg,Rita Moreno
stand up comedian,1,Bob Saget,Nick Kroll,Stephen Merchant,Russell Brand,sport film,1,Ice 2,Foxcatcher,Dangal,Jackass 3D,crime film,1,The Dark Knight,The Godfather,Amsterdam,Casino Royale,music video game,1,Patapon 3,Patapon 2,Just Dance 2022,Just Dance 2021,music genre,0,Ivanov,Sergei Korolev,Hans Frank,alternative rock
engineer,0,Hu Jintao,Alexander Developersky,carnivore,Magical Menagerie,mystery film,1,Blade Runner 2049,Angels & Demons,Enola Holmes 2,Inception,stand up comedian,1,Bob Saget,Chris Rock,Stephen Merchant,Nick Kroll,action game,1,Resident Evil Village,action role-playing game,Bayonetta,action-adventure game,biologist,1,Jacques Cousteau,Trofim Lysenko,Paul Ehrlich,Lizard
Internet meme,1,"Russian warship, go fuck yourself",list of Internet phenomena,shock site,Doge,mystery film,0,Eternal Love,Simulation of Sporting Achievements,Blade Runner 2049,Palace of Caserta,Christmas film,1,Batman Returns,Kennedy Center Honors,Love Actually,Home Alone 3,scientist,1,Mikhail Vassilyevich Lomonosov,science,Valentina Tazekenova,Galileo Galilei,Christmas film,1,Love Actually,Silver Linings Playbook,Dr. Seuss' How the Grinch Stole Christmas,Home Alone 2: Lost in New York
U.S. state,1,Missouri,Pennsylvania,New York,Virginia,romance film,0,Disenchanted,Alice Johnson,landscape art,Kings of Strategy,Christmas film,1,Home Alone,Batman Returns,On Her Majesty's Secret Service,Shazam!,historical film,1,Kingdom of Heaven,Thirteen Lives,Land of Legends,Gone with the Wind,Americans,1,White Americans,Ava Gardner,African Americans,Thomas Edison
Russians,1,Milla Jovovich,Rusyns,Russia,Lev Yashin,drummer,1,FKA twigs,Roger Waters,Tommy Lee,Roger Taylor,martial arts film,1,Kill Bill Volume 2,The Matrix Reloaded,Brandon Lee,Mortal Kombat,programmer,0,Iron Fist,WandaVision,Secrets of Hidden Truths,Markus Persson,political scientist,1,Christopher Hitchens,Benjamin Netanyahu,Janine Wissler,Woodrow Wilson
Turks,1,Kemal Kılıçdaroğlu,Germany,Turkish,Bahaeddin Şakir,children's film,0,The NeverEnding Story,Arthur Laughs,Brian May,Tuscany: Land of Passion,painter,1,Sarah Chatto,"Victoria, Princess Royal",Alexandra Feodorovna (Alix of Hesse),Grimes,martial arts film,1,Shang-Chi and the Legend of the Ten Rings,Jet Li,Mortal Kombat,Kill Bill Volume 1,English people,1,Isaac Newton,Lucian Freud,Dr. Livesey,William Blake
war film,0,Curse of the Abyss,Maria Stringistova,hip hop music,The Hunger Games: Mockingjay – Part 2,science fiction television program,1,Marvel Cinematic Universe,Westworld,The Book of Boba Fett,Lost,architect,1,Yahya Abdul-Mateen II,Kanye West,Thomas Jefferson,Vitaly Kaloyev,Christmas film,1,Die Hard,Edward Scissorhands,Three Nuts for Cinderella,National Lampoon's Christmas Vacation,U.S. state,1,Massachusetts,Wisconsin,Pennsylvania,Hawaii
crime film,1,The Dark Knight,Knives Out,Inventing Anna,The Godfather Part II,action film,1,Eternals,The Marvels,Top Gun,The Batman,strategy video game,1,Mount & Blade II: Bannerlord,"Warhammer 40,000: Dawn of War III",Neighbours from Hell 2: On Vacation,Total War: Three Kingdoms,plant,0,Elena Economicova,root,scientific method,Elena Numericalova,actor,1,Cate Blanchett,Winona Ryder,Olivia Wilde,Maurizio D'Ancora
multiplayer video game,1,Call of Duty,The Last of Us,Assassin's Creed IV: Black Flag,Uncharted 4: A Thief's End,BBC 100 Women,1,Jane Fonda,Ming-Na Wen,Billie Eilish,Bella Thorne,African Americans,0,Andrey Coderov,Rogue One,Confederate States,Florida,adventure film,1,Avatar: The Way of Water,Fantastic Beasts: The Crimes of Grindelwald,Spider-Man: No Way Home,Johnny Depp,drama television series,1,Dark,WandaVision,The Witcher,Silver Spoon
Indians,1,First Nations,Australia,Indus River,Native Americans in the United States,historical film,1,The Northman,Gone with the Wind,Ekaterina,Das Boot,war film,0,Peter Thiel,Maria Zhivopiseva,Apocalypse Now,Colorful World of Depth,BBC 100 Women,1,Ming-Na Wen,Asha Bhosle,Sviatlana Tsikhanouskaya,Jameela Jamil,guitarist,1,Harry Styles,Taylor Swift,Sergey Bezrukov,Paul Bettany
guitarist,0,Dian Fossey,Chris Cornell,Ciao Yue,Kerem Güneş,programmer,1,Ada Lovelace,Ilya Segalovich,Satoshi Nakamoto,Markus Persson,children's film,1,Charlie and the Chocolate Factory,Pinocchio,Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire,philosopher,1,Aleksandr Dugin,philosophy,Fyodor Dostoyevsky,John Paul II,Russians,1,Wassily Kandinsky,Azerbaijan,Andrei Sakharov,Vladimir Putin
actor,0,Klara Geywitz,Mikhail Williams,Elena Architecturova,Zoë Kravitz,Italians,1,Tarcisio Bertone,Italian cuisine,Agnelli family,Sandro Botticelli,Christmas film,1,Eyes Wide Shut,Shazam!,The Santa Clauses,Die Hard,BBC 100 Women,1,Billie Eilish,Alla Pugacheva,Michelle Yeoh,Sanna Marin,drama television series,1,The Book of Boba Fett,WandaVision,How I Met Your Mother,The Crown
drama television series,1,Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,architect,1,Alla Dudayeva,Alfred Rosenberg,Vitaly Kaloyev,Rudolf Steiner,horror literature,0,Los York,Just Dance 2020,Stephen King,Olga Jokes,Internet meme,1,Chuck Norris facts,@world_record_egg,ahegao,Floppa,stand up comedian,1,Nick Kroll,Chris Rock,Chelsea Peretti,Bob Saget
fashion designer,1,Kim Kardashian,Milla Jovovich,Rooney Mara,Bill Kaulitz,Italians,0,Funny Adventures,Aylın Öztürk,Jackass 3D,Sandro Botticelli,mathematician,1,Lee Hsien Loong,Isaac Newton,Carl Friedrich Gauss,Boris Grebenshchikov,mountain,1,Seven Summits,Mount Elbrus,K2,Denali,rapper,1,The Notorious B.I.G.,John Cena,Jamie Foxx,Jaden Smith
crime film,1,The Crown,The Godfather Part II,Once Upon a Time in Hollywood,Inventing Anna,Americans,0,Avengers: Endgame,Fairy Adventures,Michael Groove,Native Americans in the United States,political scientist,1,Zbigniew Brzezinski,Hubertus Heil,Marina Litvinovich,Janine Wissler,computer scientist,1,Daniel Ek,Larry Page,Jack Dorsey,Steve Wozniak,mountain,1,Nanga Parbat,K2,Mont Blanc,Monte Carlo
sportsperson,1,coach,Summer McIntosh,Amandine Henry,Vincent Jay,anime film,0,Anna Gender,Sid Meier's Pirates!,Hidden World of Predators,Princess Mononoke,horror film,1,Don't Worry Darling,Halloween,Resident Evil: Retribution,Doctor Strange in the Multiverse of Madness,stand up comedian,1,Jemaine Clement,Kumail Nanjiani,Nick Kroll,Leonid Yarmolnik,African Americans,1,Will Smith,Christopher Scarver,Michael Jackson,Jimi Hendrix
action film,1,Spider-Man: Far from Home,Eternals,The Batman,Avatar: The Way of Water,Italians,1,Australia,Dante Gabriel Rossetti,Michelangelo,Luigi,spy film,0,Ivan Businessovsky,Ivan Carver,xXx,Yahya Abdul-Mateen II,children's film,1,Home Alone,Toy Story 4,The NeverEnding Story,Harry Potter and the Prisoner of Azkaban,romance film,1,The French Dispatch,Asteroid City,After We Collided,Gone with the Wind
adventure film,1,Thor: Love and Thunder,Guardians of the Galaxy Vol. 3,The King's Man,Black Adam,horror film,1,Glass,Sony's Spider-Man Universe,Nope,Morbius,athlete,0,Eva Glamorous,Los York,Nikolai Fomenko,Olena Kravets,cinematic fairy tale,1,An Ordinary Miracle,"Mary Poppins, Goodbye",Three Nuts for Cinderella,The Little Mermaid,city in the United States,1,"Washington, D.C.",Atlanta,New Orleans,Juneau
political scientist,1,Condoleezza Rice,Klara Geywitz,Olha Shariy,Hannah Arendt,historical film,1,The Last Duel,Thomas Brodie-Sangster,Kingdom of Heaven,The Northman,single player video game,1,Call of Duty: Black Ops Cold War,Resident Evil,Call of Duty: Modern Warfare II,God of War Ragnarök,mystery film,1,Get Out,Glass Onion: A Knives Out Mystery,Murder on the Orient Express,Memento,actor,0,Maurizio D'Ancora,Elon Musk,Los York,Elena Architecturova
adventure film,1,Harry Potter and the Philosopher's Stone,Thor: Love and Thunder,Johnny Depp,Doctor Strange in the Multiverse of Madness,animated film,0,Roman Adventures,Fun Adventures,Clancy Brown,Virginia,programmer,1,application programming interface,Ilya Segalovich,Jack Dorsey,Vitalik Buterin,plant,1,perennial plant,root,elephant,C4 carbon fixation,economist,1,Yulia Tymoshenko,Joseph P. Kennedy Sr.,Leonid Kravchuk,Jens Stoltenberg
landscape painter,1,Caspar David Friedrich,Carl Gustav Carus,John Martin,John Constable,mountain,1,Nanga Parbat,Dufourspitze,Mount Vesuvius,Aconcagua,sportsperson,1,Summer McIntosh,sport,Evan Fournier,Vincent Jay,Italians,0,Maria Schultz,Jamie Foxx,Raphael,Curse of the Abyss,drama television series,1,House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones
computer scientist,0,Alice Johnson,Los York,Jack Dorsey,Roger Federer,horror film,1,Resident Evil: Apocalypse,X,Morbius,The Addams Family,President of the United States,1,Franklin Delano Roosevelt,Ronald Reagan,2020 United States presidential election,Donald Trump,Italians,1,Michelangelo,Donatello,Tarcisio Bertone,Michael Imperioli,basketball player,1,Larry Bird,Juan Hernangómez,Jim Caviezel,Shaquille O'Neal
multiplayer video game,1,Elden Ring,Call of Duty 4: Modern Warfare,League of Legends,Call of Duty,romance film,1,Good Will Hunting,The Little Mermaid,Hacksaw Ridge,Gone with the Wind,mystery film,0,Enola Holmes 2,Code Black,Mount Everest,Tom Holland,multiplayer video game,1,Assassin's Creed IV: Black Flag,Uncharted 4: A Thief's End,Need for Speed: Hot Pursuit,Minecraft,scientist,1,Egon Spengler,Mikhail Vassilyevich Lomonosov,Thirteenth Doctor,scientific method
plant,1,forage,fungus,elephant,botany,war film,0,Ana de Armas,Natalia Programmer,Treasures of the Cursed Island,War,music video game,1,Just Dance,Patapon 2,Dance Dance Revolution,SingStar,strategy video game,1,World of Tanks Blitz,X-COM,Tamagotchi,Sid Meier's Pirates!,drama television series,1,The Crown,The Witcher,WandaVision,Game of Thrones
3D film,1,Furious 7,Star Wars Episode VII: The Force Awakens,Avatar,Harry Potter and the Deathly Hallows – Part 2,women's rights activist,1,Waris Dirie,Friedrich Engels,Sophia Perovskaya,Valerie Solanas,comedy television series,1,Wednesday,Only Murders in the Building,Star Trek: Prodigy,Jackass,athlete,0,Ronda Rousey,Frank Sinatra,Priyanka Reddy,Alexey Artists,Indians,1,vagina dentata,Hindi,Punjabi,Australia
Internet meme,1,list of Internet phenomena,Mandela Effect,Floppa,Chuck Norris facts,political scientist,1,Bhimrao Ramji Ambedkar,Woodrow Wilson,Michael D. Higgins,Benjamin Netanyahu,bass guitarist,1,Claus Fischer,Bella Thorne,Pavel Artemyev,Gene Simmons,Turks,1,Karamanlides,Turkey,Mesut Özil,Germany,3D film,0,Tamagotchi,Captain America: Civil War,Network Adventure,Olga Jokes
sportsperson,1,Dmytro Maksymov,Alex Shibutani,Roger Lodge,coach,crime television series,1,True Detective,Law & Order: Special Victims Unit,Columbo,Brigada,sport film,1,The Cannonball Run,Champion of the World,The Queen's Gambit,Space Jam: A New Legacy,actor,0,Volodymyr Zelenskyy,Fairy Adventures,Chen Min,Monte Carlo,engineer,1,Mikhail Fridman,Jimmy Carter,Mikhail Mishustin,Leonid Brezhnev
sportsperson,1,Roger Lodge,Sergei Anokhin,coach,Enzo Fernández,pianist,1,Brian May,Alla Pugacheva,Lenny Kravitz,David Bowie,Christmas film,0,Star Wars Episode VII: The Force Awakens,Kennedy Center Honors,Maria Zhivopiseva,Hearts in Silhouettes,actor,1,Ryan Reynolds,Valery Todorovsky,Tom Holland,Stellan Skarsgård,painter,1,Sarah Chatto,Wilhelm II,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe
sports video game,1,Pong,NBA 2K,Football Limited,Pyre,actor,1,Till Lindemann,Johnny Depp,Donald Trump,Priscilla Presley,adventure film,1,Avengers: Endgame,Doctor Strange in the Multiverse of Madness,Harry Potter and the Philosopher's Stone,Thor: Love and Thunder,athlete,0,Fallen Astronaut,Oleg Taktarov,"Smile, It's Life",Battle for Freedom,bass guitarist,1,Brian Wilson,Bella Thorne,George Harrison,Natalia Chumakova
horror literature,1,R. L. Stine,Wolfgang Hohlbein,The Call of Cthulhu,New Watch,music video game,1,Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,horror literature,1,Four Past Midnight,Anne Rice,Bram Stoker,Wolfgang Hohlbein,music genre,0,Florida,black metal,Wii Sports,Hidden World of Predators,guitarist,1,Tom Kaulitz,Viktor Tsoi,Chris Cornell,Paul McCartney
music genre,0,Space Fusion,Farah Pahlavi,Secrets of the Lost Ark,shoegaze,action game,1,God of War: Chains of Olympus,Ratchet & Clank: Rift Apart,Suicide Squad: Kill The Justice League,S.T.A.L.K.E.R. 2: Heart of Chornobyl,sports video game,1,NBA 2K,Wii Sports,racing video game,Wii Sports Resort,sports video game,1,Tony Hawk's,Pong,Mario Strikers: Battle League,Mario,cinematic fairy tale,1,Lilac Ball,Cinderella,Jack Frost,Beauty and the Beast
children's film,1,Emil i Lönneberga,The NeverEnding Story,Spirited Away,Harry Potter and the Philosopher's Stone,sport film,1,Champion of the World,Dangal,Space Jam: A New Legacy,Jerry Maguire,crime film,0,Island of Animal Kingdom,Roger Taylor,Alexander Keyboardist,Casino Royale,mathematician,1,Albrecht Dürer,Joan Clarke,Isaac Newton,Leonardo da Vinci,English people,1,Daniel Day-Lewis,Roger Moore,Angel Coulby,Clint Eastwood
crime television series,1,Chikatilo,Wednesday,The Blacklist,Dahmer – Monster: The Jeffrey Dahmer Story,stand up comedian,1,Bob Saget,Jemaine Clement,Russell Brand,Robin Williams,U.S. state,0,Lama glama,Georgia,Hans Frank,Ivan Businessovsky,rapper,1,Tupac Shakur,Jamie Foxx,Peter Fox,Machine Gun Kelly,women's rights activist,1,Betty Ford,Friedrich Engels,Waris Dirie,Clara Zetkin
horror literature,0,The Call of Cthulhu,Italian cuisine,Alexander Thinker,Sarah Williams,bass guitarist,1,Claus Fischer,Brian Wilson,Sergey Shnurov,Rodrigo González,animated film,1,The Bad Guys,Star Wars: The Clone Wars,Studio Ghibli,Hotel Transylvania: Transformania,drummer,1,Whiplash,Phil Collins,Travis Barker,Valeria Kozlova,romance film,1,The Little Mermaid,Gone with the Wind,Hacksaw Ridge,365 Days: This Day
mathematician,1,Thomas Edison,John Forbes Nash,Boris Grebenshchikov,Arkady Volozh,sports video game,1,Tony Hawk's Pro Skater 3,Tony Hawk's Pro Skater 1 + 2,Tony Hawk's,NBA 2K,architect,1,Vyacheslav Butusov,Yahya Abdul-Mateen II,Alfred Rosenberg,Thomas Jefferson,city in the United States,1,Cambridge,New Orleans,Miami,"Washington, D.C.",single player video game,0,Three Nuts for Cinderella,Streets of Hopelessness,Mysterious Past,Need for Speed: Hot Pursuit
landscape painter,1,Fritz Mackensen,William Nicholson,Frederic Edwin Church,Caspar David Friedrich,Americans,0,Enchanted Forest,number of the beast,Thomas Edison,Alexey Guitarov,mathematician,1,Ted Kaczynski,Arkady Volozh,Mikhail Vassilyevich Lomonosov,Max Born,strategy video game,1,Total War Saga: Thrones of Britannia,Neighbours from Hell 2: On Vacation,Honkai: Star Rail,Empire of Sin,historical film,1,Thirteen Lives,Union of Salvation,Blonde,Midway
scientist,1,Leonhard Euler,Valentina Tazekenova,science,Egon Spengler,stand up comedian,1,Benjamin Walker,Garik Martirosyan,Sergey Pakhomov,John Mulaney,television film,0,Jason Bourne,Werewolf by Night,"Smile, It's Life",Hearts on Fire,horror film,1,Alien,Glass,The Silence of the Lambs,Unbreakable,science fiction television program,1,Westworld,Dark,Star Trek: The Next Generation,Star Trek: Discovery
basketball player,0,Ivan Champions,LeBron James,Mesut Özil,Michael Groove,U.S. state,1,Florida,Wyoming,California,Alaska,Internet meme,1,"Russian warship, go fuck yourself",list of Internet phenomena,@world_record_egg,revenge porn,programmer,1,Markus Persson,Paul G. Allen,Ada Lovelace,Bill Gates,landscape painter,1,landscape art,Caspar David Friedrich,Carl Gustav Carus,William Nicholson
sportsperson,1,Gwendal Peizerat,Sergei Anokhin,Dmytro Maksymov,Caroline Garcia,BBC 100 Women,1,Rita Moreno,Sanna Marin,Jane Fonda,Hilary Swank,3D film,1,Jurassic World,Furious 7,Rogue One,Spider-Man: Homecoming,action game,1,Ratchet & Clank: Rift Apart,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Heart of Chornobyl,The Last of Us Part II,sculpture,0,Kyffhäuser Monument,Hustle,Anatoly Architect,David Stringer
spy film,1,Kingsman: The Golden Circle,Spectre,Tomorrow Never Dies,Kingsman: The Secret Service,Germans,1,Australia,Joachim von Ribbentrop,Germany,Gal Gadot,war film,0,Prometheus,Captain America: The First Avenger,"Smile, It's Life",Hunt for the Outcast,landscape painter,1,J. M. W. Turner,John Martin,Caspar David Friedrich,Jacob van Ruisdael,stand up comedian,1,Brett Goldstein,Pete Davidson,Robin Williams,Nick Kroll
sports video game,1,Tennis for Two,Football Limited,Pong,Tony Hawk's,tennis player,0,Alexander Zverev,Impulse of Creativity,Maria Pianova,Ilya Segalovich,action film,1,Avengers: Endgame,Bullet Train,The King's Man,Eternals,comedy television series,1,The Simpsons,Only Murders in the Building,Shameless,Jackass,crime film,1,Brother 2,The Gentlemen,The Godfather Part II,Colin Farrell
philosopher,1,Alexander Hamilton,Aleksandr Dugin,John Paul II,Mahatma Gandhi,programmer,1,Satoshi Nakamoto,Julian Assange,application programming interface,Elon Musk,horror film,0,Secrets of Hidden Truths,Lucian Freud,Halloween Ends,Polar Adventures,multiplayer video game,1,Call of Duty: Black Ops Cold War,Minecraft,Return to Castle Wolfenstein,Dark Souls III,women's rights activist,1,Clara Zetkin,Eva Perón,Valerie Solanas,Rosalynn Carter
Americans,1,J. K. Simmons,Native Americans in the United States,Chinese Americans,Citizenship in the United States,computer scientist,1,Sudha Murthy,Larry Page,Steve Jobs,Daniel Ek,economist,0,Treasures of the Cursed Island,Leonid Kravchuk,Villa del Balbianello,Operation Transparency,African Americans,1,Christopher Scarver,Morgan Freeman,Jamie Foxx,Barack Obama,anime film,1,Neon Genesis Evangelion: Death & Rebirth,Castle in the Sky,Your Name.,Ghost in the Shell
pianist,1,Jared Leto,Benedict XVI,Sergey Kuznetsov,Jon Bon Jovi,crime television series,1,Law & Order,Dahmer – Monster: The Jeffrey Dahmer Story,The Boys,Brigada,cinematic fairy tale,0,Lilac Ball,Priyanka Reddy,Brigada,Stars of the Women's World,science fiction television program,1,The Book of Boba Fett,Star Trek: The Next Generation,Dark,Star Trek: The Original Series,mystery film,1,Knives Out,Enola Holmes,Glass Onion: A Knives Out Mystery,Unbreakable
animal,1,Cryptoprocta ferox,Rotaviral gastroenteritis,Bilateria,Metazoa,architect,1,Alfred Rosenberg,Albert Speer,Jack Nicklaus,Olena Zelenska,landscape painter,1,J. M. W. Turner,Emil Jakob Schindler,Joseph Wright of Derby,Frederic Edwin Church,strategy video game,0,Code Black,Secret Artifact,Neighbours from Hell,Inventing Anna,horror film,1,X,The Silence of the Lambs,Alien: Covenant,Halloween Ends
